rank,country,composite_score,workbook_rank,workbook_composite_score,composite_score_delta,rank_matches_workbook,implementation_score,innovation_score,investment_score,implementation_weight_display_derived,innovation_weight_display_derived,investment_weight_display_derived,talent_score,infrastructure_score,operating_environment_score,research_score,development_score,commercial_ecosystem_score,government_strategy_score,talent_score_workbook,infrastructure_score_workbook,operating_environment_score_workbook,research_score_workbook,development_score_workbook,commercial_ecosystem_score_workbook,government_strategy_score_workbook,talent_weight_display,infrastructure_weight_display,operating_environment_weight_display,research_weight_display,development_weight_display,commercial_ecosystem_weight_display,government_strategy_weight_display,implementation_weight_display,innovation_weight_display,investment_weight_display
1,United States of America,76.6663940036,1,76.67,-0.00360599639999748,True,73.72280236693334,74.9313144711158,83.83034485563238,0.375,0.3791,0.2459,72.618599,79.284006,68.707888,77.199435,72.004,85.5956,77.39,72.62,79.28,68.71,77.21,72.0,85.59,77.39,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
2,China,49.9984534368,2,50.0,-0.0015465632000015717,True,33.8013536816,70.8754281382221,42.513505485969915,0.375,0.3791,0.2459,17.608436,63.963883,65.70797,77.735177,62.022,28.162943000000002,94.87,17.61,63.96,65.71,77.74,62.02,28.16,94.87,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
3,South Korea,37.7812935106,3,37.78,0.0012935106000000474,True,31.255939021866666,51.836062375098926,26.064518629524198,0.375,0.3791,0.2459,21.777203,48.873994,50.010816000000005,25.094224,86.35,9.225467000000002,87.5,21.78,48.87,50.01,25.09,86.35,9.22,87.5,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
4,Singapore,33.0386410446,4,33.04,-0.0013589554000006387,True,51.8147094288,18.369795686626222,27.01966435136234,0.375,0.3791,0.2459,56.248364,42.137089,45.990356,20.415143,15.73,12.547448000000001,79.82,56.25,42.14,45.99,20.42,15.73,12.55,79.82,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
5,Canada,32.8644534196,5,32.86,0.004453419599997233,True,44.85608531733333,23.13710140226853,29.573592045546967,0.375,0.3791,0.2459,41.940146,40.922038,69.818746,28.821981,15.8,10.270188000000001,100.0,41.94,40.92,69.82,28.82,15.8,10.27,100.0,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
6,United Kingdom,32.506259844,6,32.5,0.006259843999998793,True,37.38945935893334,30.127651992614084,28.726391679544534,0.375,0.3791,0.2459,35.375743,31.680918000000005,60.76709700000001,40.960814,16.146,13.899698,82.82,35.38,31.68,60.77,40.96,16.15,13.9,82.82,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
7,Germany,30.1395453604,7,30.14,-0.00045463960000091674,True,35.78758321866666,28.152904411500927,24.589001996746646,0.375,0.3791,0.2459,32.084827,35.029209,58.791722,36.309284000000005,17.625999999999998,8.126687,84.65,32.08,35.03,58.79,36.31,17.63,8.13,84.65,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
8,India,28.8322750478,8,28.83,0.0022750478000013175,True,46.630735780799995,19.170401434977578,16.58499368035787,0.375,0.3791,0.2459,55.654157,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83,55.66,18.77,51.52,19.68,18.52,5.01,58.83,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
9,Israel,27.6521244388,9,27.65,0.0021244388000027925,True,39.33287399306666,19.141719615932473,22.95921425376169,0.375,0.3791,0.2459,39.537447,30.116511000000003,57.058828000000005,20.810449000000002,16.988,17.216745,43.91,39.53,30.12,57.06,20.81,16.99,17.22,43.91,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
10,France,26.3445105604,10,26.34,0.004510560399999974,True,31.81229328586667,21.84863618886837,24.93730215128101,0.375,0.3791,0.2459,23.834752,37.70349300000001,65.93375,28.084822,13.8,6.775143,91.2,23.84,37.7,65.93,28.08,13.8,6.77,91.2,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
11,UAE,25.565163338999998,11,25.56,0.005163338999999212,True,39.10831308586666,8.077257411764705,31.872540248068315,0.375,0.3791,0.2459,34.135143,50.14824,45.262486,7.1004179999999995,9.338,18.302878999999997,81.38,34.14,50.15,45.26,7.1,9.34,18.3,81.38,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
12,Japan,22.934060240999997,12,22.93,0.0040602409999976885,True,20.4797130752,25.078310421524662,23.371209259861732,0.375,0.3791,0.2459,9.805549,40.800647999999995,40.613047,20.311903,31.23,10.053349,71.96,9.81,40.8,40.61,20.31,31.23,10.05,71.96,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
13,Spain,22.1416525172,13,22.14,0.0016525172000001476,True,32.182436782399996,11.25003292218412,23.620785860105737,0.375,0.3791,0.2459,28.328128,30.508565,57.94293400000001,14.789403,6.6819999999999995,5.075851,91.28,28.33,30.51,57.94,14.79,6.68,5.08,91.28,0.24559999999999998,0.087,0.0424,0.21359999999999998,0.1655,0.193,0.0529,0.3751,0.379,0.2459
